profile id;#friends;#following;#community;age;#postshared;#urlshared;#photos/videos;fpurls;fpphotos/videos;avgcomment/post;likes/post;tags/post;#tags/post;Label
1;39;300;907;200;1000;850;922;0.85;0.922;56;47;40;14;1
2;150;350;30;300;300;100;290;0.333;0.967;5;12;10;4;0
3;300;450;50;465;500;150;450;0.3;0.9;4;15;15;7;0
4;25;110;660;350;2050;2000;2050;0.976;1.0;7;3;54;21;1
5;24;100;150;800;950;1000;900;1.053;0.947;66;5;55;20;1
6;562;350;55;650;450;250;900;0.556;2.0;42;22;15;10;0
7;662;454;22;764;365;100;1000;0.274;2.74;31;25;23;10;0
8;50;100;700;350;2512;2000;2400;0.796;0.955;77;32;58;32;1
9;800;550;66;850;460;500;300;1.087;0.652;4;2;23;10;0
10;605;555;58;782;700;100;650;0.143;0.929;24;28;13;5;0
11;1005;380;13;1250;561;132;530;0.235;0.945;1;16;16;4;0
12;1632;560;84;651;789;87;760;0.11;0.963;46;19;35;12;0
13;2461;643;63;1523;756;123;713;0.163;0.943;46;28;13;17;0
14;561;312;46;625;326;65;300;0.199;0.92;35;23;32;15;0
15;1143;426;86;956;558;56;500;0.1;0.896;24;21;15;19;0
16;784;466;46;423;326;32;300;0.098;0.92;26;25;18;12;0
17;146;56;13;125;76;23;65;0.303;0.855;35;13;19;19;0
18;894;465;123;565;420;63;400;0.15;0.952;482;1;25;11;0
19;463;143;32;421;186;50;168;0.269;0.903;38;14;23;16;0
20;1164;786;46;864;546;95;500;0.174;0.916;36;15;29;13;0
21;265;165;26;410;130;25;115;0.192;0.885;32;19;26;14;0
22;632;164;29;476;331;46;302;0.139;0.912;41;8;27;15;0
23;789;652;56;432;187;46;176;0.246;0.941;57;7;29;13;0
24;146;138;13;269;138;24;200;0.174;1.449;38;13;27;19;0
25;864;975;78;366;214;75;187;0.35;0.874;33;14;19;18;0
