profile id;#friends;#following;#community;age;#postshared;#urlshared;#photos/videos;fpurls;fpphotos/videos;avgcomment/post;likes/post;tags/post;#tags/post;Label
1;39;300;907.0;200.0;1000.0;850.0;922.0;0.85;0.922;56.0;47.0;40.0;14.0;1.0
2;150;350;30.0;300.0;300.0;100.0;290.0;0.333;0.967;5.0;12.0;10.0;4.0;0.0
3;300;450;50.0;465.0;500.0;150.0;450.0;0.3;0.9;4.0;15.0;15.0;7.0;0.0
4;25;110;660.0;350.0;2050.0;2000.0;2050.0;0.976;1.0;7.0;3.0;54.0;21.0;1.0
5;24;100;150.0;800.0;950.0;1000.0;900.0;1.053;0.947;66.0;5.0;55.0;20.0;1.0
6;562;350;55.0;650.0;450.0;250.0;900.0;0.556;2.0;42.0;22.0;15.0;10.0;0.0
7;662;454;22.0;764.0;365.0;100.0;1000.0;0.274;2.74;31.0;25.0;23.0;10.0;0.0
8;50;100;700.0;350.0;2512.0;2000.0;2400.0;0.796;0.955;77.0;32.0;58.0;32.0;1.0
9;800;550;66.0;850.0;460.0;500.0;300.0;1.087;0.652;4.0;2.0;23.0;10.0;0.0
10;605;555;58.0;782.0;700.0;100.0;650.0;0.143;0.929;24.0;28.0;13.0;5.0;0.0
11;1005;380;13.0;1250.0;561.0;132.0;530.0;0.235;0.945;1.0;16.0;16.0;4.0;0.0
12;1632;560;84.0;651.0;1006.0;87.0;760.0;0.086;0.755;46.0;19.0;35.0;12.0;0.0
13;2461;643;63.0;1523.0;756.0;123.0;713.0;0.163;0.943;46.0;28.0;13.0;17.0;0.0
14;561;312;46.0;625.0;326.0;65.0;300.0;0.199;0.92;35.0;23.0;32.0;15.0;0.0
15;1143;426;86.0;956.0;558.0;56.0;500.0;0.1;0.896;24.0;21.0;15.0;19.0;0.0
16;784;466;46.0;423.0;326.0;32.0;300.0;0.098;0.92;26.0;25.0;18.0;12.0;0.0
17;146;56;13.0;125.0;76.0;23.0;65.0;0.303;0.855;35.0;13.0;19.0;19.0;0.0
18;894;465;123.0;565.0;420.0;63.0;400.0;0.15;0.952;482.0;1.0;25.0;11.0;0.0
19;463;143;32.0;421.0;186.0;50.0;168.0;0.269;0.903;38.0;14.0;23.0;16.0;0.0
20;1164;786;46.0;864.0;546.0;95.0;500.0;0.174;0.916;36.0;15.0;29.0;13.0;0.0
21;265;165;26.0;410.0;130.0;25.0;115.0;0.192;0.885;32.0;19.0;26.0;14.0;0.0
22;632;164;29.0;476.0;331.0;46.0;302.0;0.139;0.912;41.0;8.0;27.0;15.0;0.0
23;789;652;56.0;432.0;187.0;46.0;176.0;0.246;0.941;57.0;7.0;29.0;13.0;0.0
24;146;138;13.0;269.0;138.0;24.0;200.0;0.174;1.449;38.0;13.0;27.0;19.0;0.0
25;864;975;78.0;366.0;214.0;75.0;187.0;0.35;0.874;33.0;14.0;19.0;18.0;0.0
26;1112;1234;96.0;846.0;364.0;105.0;300.0;0.288;0.824;44.0;19.0;23.0;17.0;0.0
27;1147;1232;87.0;961.0;226.0;42.0;202.0;0.186;0.894;22.0;15.0;22.0;19.0;0.0
28;1135;1542;97.0;511.0;444.0;35.0;394.0;0.079;0.887;32.0;16.0;16.0;11.0;0.0
29;2311;1666;54.0;964.0;555.0;78.0;500.0;0.141;0.901;22.0;11.0;36.0;6.0;0.0
30;1231;1164;88.0;642.0;554.0;32.0;522.0;0.058;0.942;21.0;9.0;33.0;10.0;0.0
31;1133;1124;33.0;1532.0;789.0;123.0;700.0;0.156;0.887;13.0;8.0;35.0;11.0;0.0
32;2321;1532;53.0;964.0;884.0;112.0;822.0;0.127;0.93;25.0;7.0;33.0;16.0;0.0
33;2862;2645;66.0;1523.0;562.0;85.0;550.0;0.151;0.979;16.0;6.0;22.0;29.0;0.0
34;460;323;36.0;1724.0;773.0;99.0;723.0;0.128;0.935;32.0;19.0;13.0;23.0;0.0
35;1386;1245;48.0;1894.0;886.0;84.0;840.0;0.095;0.948;13.0;14.0;18.0;18.0;0.0
36;2678;1648;66.0;1947.0;1231.0;66.0;1160.0;0.054;0.942;364.0;2.0;33.0;15.0;0.0
37;2216;1894;51.0;2697.0;1226.0;49.0;956.0;0.04;0.78;268.0;21.0;35.0;14.0;0.0
38;2649;2131;25.0;2246.0;1500.0;46.0;1463.0;0.031;0.975;21.0;16.0;26.0;13.0;0.0
39;2134;2364;33.0;2164.0;1700.0;68.0;1532.0;0.04;0.901;22.0;18.0;21.0;11.0;0.0
40;1123;1150;115.0;2246.0;1460.0;56.0;1163.0;0.038;0.797;33.0;11.0;22.0;5.0;0.0
41;1009;1123;32.0;1423.0;1112.0;36.0;635.0;0.032;0.571;321.0;188.0;36.0;4.0;0.0
42;1100;1356;49.0;1200.0;800.0;24.0;750.0;0.03;0.938;213.0;14.0;24.0;9.0;0.0
43;149;153;26.0;264.0;108.0;28.0;99.0;0.259;0.917;13.0;16.0;11.0;11.0;0.0
44;1489;1009;45.0;365.0;321.0;58.0;300.0;0.181;0.935;18.0;18.0;14.0;13.0;0.0
45;1444;1564;63.0;225.0;210.0;21.0;210.0;0.1;1.0;11.0;13.0;23.0;16.0;0.0
46;1563;1142;31.0;606.0;521.0;55.0;500.0;0.106;0.96;9.0;99.0;19.0;13.0;0.0
47;2120;2130;39.0;753.0;650.0;85.0;623.0;0.131;0.958;95.0;85.0;13.0;10.0;0.0
48;3261;3225;84.0;798.0;564.0;96.0;546.0;0.17;0.968;32.0;75.0;22.0;15.0;0.0
49;1231;1364;59.0;465.0;336.0;87.0;301.0;0.259;0.896;21.0;87.0;28.0;16.0;0.0
50;889;1003;42.0;550.0;460.0;56.0;440.0;0.122;0.957;13.0;75.0;32.0;16.0;0.0
51;223;130;12.0;365.0;130.0;13.0;115.0;0.1;0.885;236.0;886.0;29.0;18.0;0.0
52;332;321;13.0;421.0;183.0;23.0;175.0;0.126;0.956;313.0;889.0;21.0;12.0;0.0
53;2135;2364;54.0;1005.0;786.0;150.0;760.0;0.191;0.967;42.0;66.0;34.0;16.0;0.0
54;3305;4510;168.0;1543.0;864.0;166.0;800.0;0.192;0.926;156.0;78.0;31.0;10.0;0.0
55;4462;5312;113.0;665.0;512.0;87.0;495.0;0.17;0.967;28.0;99.0;38.0;9.0;0.0
56;5554;4231;85.0;980.0;602.0;84.0;560.0;0.14;0.93;16.0;16.0;25.0;11.0;0.0
57;654;461;49.0;1520.0;1231.0;186.0;941.0;0.151;0.764;12.0;19.0;18.0;15.0;0.0
58;1546;1243;88.0;645.0;547.0;62.0;431.0;0.113;0.788;35.0;11.0;26.0;14.0;0.0
59;1143;987;65.0;1546.0;786.0;112.0;653.0;0.142;0.831;34.0;14.0;21.0;13.0;0.0
