profile id;#friends;#following;#community;age;#postshared;#urlshared;#photos/videos;fpurls;fpphotos/videos;avgcomment/post;likes/post;tags/post;#tags/post;Label
1;39;300;907;200;1000;850;922;49;55;56;47;40;14;1
2;150;350;30;300;300;100;290;33;96;5;12;10;4;0
3;300;450;50;465;500;150;450;2;84;4;15;15;7;0
4;25;110;660;350;2050;2000;2050;9,76E+13;1;7;3;54;21;1
5;24;100;150;800;950;1000;900;1,05E+13;9,47E+13;66;5;55;20;1
6;562;350;55;650;450;250;900;5,56E+13;2;42;22;15;10;0
7;662;454;22;764;365;100;1000;2,74E+13;2,74E+13;31;25;23;10;0
8;50;100;700;350;2512;2000;2400;7,96E+13;9,55E+13;77;32;58;32;1
9;800;550;66;850;460;500;300;1,09E+13;6,52E+13;4;2;23;10;0
10;605;555;58;782;700;100;650;1,43E+13;9,29E+13;24;28;13;5;0
11;1005;380;13;1250;561;132;530;2,35E+13;9,45E+13;1;16;16;4;0
12;1632;560;84;651;L'Aquila;87;760;1,10E+13;9,63E+13;46;19;35;12;0
13;2461;643;63;1523;756;123;713;1,63E+13;9,43E+13;46;28;13;17;0
14;561;312;46;625;326;65;300;1,99E+13;9,20E+13;35;23;32;15;0
15;1143;426;86;956;558;56;500;1,00E+13;8,96E+13;24;21;15;19;0
16;784;466;46;423;326;32;300;9,82E+13;9,20E+13;26;25;18;12;0
17;146;56;13;125;76;23;65;3,03E+13;8,55E+13;35;13;19;19;0
18;894;465;123;565;420;63;400;15;9,52E+13;482;1;25;11;0
19;463;143;32;421;186;50;168;2,69E+13;9,03E+13;38;14;23;16;0
20;1164;786;46;864;546;95;500;1,74E+13;9,16E+13;36;15;29;13;0
21;265;165;26;410;130;25;115;1,92E+13;8,85E+13;32;19;26;14;0
22;632;164;29;476;331;46;302;1,39E+13;9,12E+13;41;8;27;15;L'Aquila
23;789;652;56;432;187;46;176;2,46E+13;9,41E+13;57;7;29;13;0
24;146;138;13;269;138;24;200;1,74E+13;1,45E+13;38;13;27;19;0
25;864;975;78;366;214;75;187;3,50E+13;8,74E+13;33;14;19;18;0
26;1112;1234;96;846;364;105;300;2,88E+13;8,24E+13;44;19;23;17;0
27;1147;1232;87;961;226;42;202;1,86E+12;8,94E+13;22;15;22;19;0
28;1135;1542;97;511;444;35;394;7,88E+13;8,87E+13;32;16;16;11;0
29;2311;1666;54;964;555;78;500;1,41E+13;9,01E+12;22;11;36;6;0
30;1231;1164;88;642;554;32;522;5,78E+13;9,42E+13;21;9;33;10;0
31;1133;1124;33;1532;789;123;700;1,56E+13;8,87E+12;13;8;35;11;0
32;2321;1532;53;964;884;112;822;1,27E+13;9,30E+13;25;7;33;16;0
33;2862;2645;66;1523;562;85;550;1,51E+13;9,79E+13;16;6;22;29;0
34;460;323;36;1724;773;99;723;1,28E+12;9,35E+12;32;19;13;23;0
35;1386;1245;48;1894;886;84;840;9,48E+13;9,48E+13;13;14;18;18;0
36;2678;1648;66;1947;1231;66;1160;5,36E+11;9,42E+13;364;2;33;15;0
